Time:  161,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:41,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  616,adAvg:  465,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  162,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:42,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  616,adAvg:  503,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  163,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:43,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  616,adAvg:  531,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  164,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:44,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  616,adAvg:  552,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  165,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:45,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  632,adAvg:  572,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  166,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:46,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  632,adAvg:  587,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  167,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:47,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  632,adAvg:  598,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  168,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:48,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  632,adAvg:  606,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  169,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:49,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  608,adAvg:  607,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  170,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:50,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  608,adAvg:  607,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  171,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:51,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  608,adAvg:  607,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  172,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:52,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  608,adAvg:  607,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  173,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:53,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  550,adAvg:  593,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  174,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:54,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  550,adAvg:  582,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  175,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:55,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  550,adAvg:  574,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  176,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:56,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  550,adAvg:  568,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  177,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:57,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  636,adAvg:  585,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  178,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:58,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  636,adAvg:  597,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  179,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:59,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  636,adAvg:  607,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  180,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:60,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  636,adAvg:  614,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
Time:  181,g_pluseCnt:  0,g_pulseValue:  0,g_pulseReportNum:  0,g_validDataCnt: 0,			  findFlagTmp: 0,g_badFlag: 0,g_InvalCnt:61,g_pulseState:0,			  g_oldData:    0, g_newData:  662,adc:  601,adAvg:  611,g_vpp:    0,g_dc:    0,g_prec:    0,g_adMax:  662,g_adMin:  128,			  g_highTh:    0,g_lowTh:    0,              g_preState: 1,g_currState: 1,,loop:120,g_reportLen: 8
